city,lat,lng,population
Vizianagaram,18.1167,83.4167,228720
Puducherry,11.93,79.83,227411
Karnāl,29.6804,76.97,225049
Nāgercoil,8.17,77.43,224329
Tanjore,10.8,79.15,222943
Sambhal,28.58,78.55,220813
Shimla,31.1033,77.1722,206575
Ghāndīnagar,23.22,72.68,195891
Shillong,25.5744,91.8789,143229
New Delhi,28.7,77.2,142004
Port Blair,11.6667,92.75,127562
Gangtok,27.33,88.62,100286
Kohīma,25.6667,94.1194,99039
Itānagar,27.1,93.62,59490
Panaji,15.48,73.83,40017
Damān,20.417,72.85,39737
Kavaratti,10.5626,72.6369,10688
Panchkula,30.6915,76.8537,
Kagaznāgār,19.3316,79.4661,
